"","X","Amplitude_ID","Merged_ID","Total_Events","Total_Sessions","Usage_Time","First_Seen","Last_Seen","Num_Purchases","Total_Spent","amplitude_id","user_id","carrier","city","country","device","device_type","dma","ip_address","language","library","os","paying","platform","region","start_version","version","gp.Active.Projects","gp.Collected.Daily.Artwork","gp.Push.Enabled","gp.camera_permission","gp.camera_roll_count","gp.daily_artwork_count","gp.photos_permission","gp.project_count","gp.push_enabled"
"1","V2",7607370819,"","2","1","a few seconds","Jun 28th, 2016 (UTC)","Jun 28th, 2016 (UTC)","0","$0.00",7607370819,"CloudKit-968549417df043b90caa44e830bdd57b939834ef036ad102b2baee00d02412e32bbc0c40a787d51f474bab4b570d38f16567b9ada88ac6582c123197475099c8","Verizon","Saint Paul","United States","Apple iPhone","Apple iPhone 6s","Minneapolis-St. Paul, MN","68.54.17.209","English","amplitude-ios/3.7.0","ios 9.3.2","","iOS","Minnesota","3.3.3","3.3.3",NA,NA,"","false",3067,0,"true",0,"false"
"2","V21",7803601245,"","34","1","3 minutes","Jul 4th, 2016 (UTC)","Jul 4th, 2016 (UTC)","0","$0.00",7803601245,"CloudKit-960da98fd5f510032b156fef384b3ecdab3d8ab5a049fad882b88489e533358ea878ae5804c13e5245976a9b5c1cdbd6e2f81fb1157a6ff1959eb1999427607e","Carrier","Klaipėda","Lithuania","Apple iPad","Apple iPad 3","","78.57.199.122","English","amplitude-ios/3.8.1","ios 9.2","","iOS","Klaipėda County","3.4.0","3.4.0",NA,NA,"","false",1530,0,"true",1,"false"
"3","V22",5876141805,"","153","6","7 minutes","May 1st, 2016 (UTC)","Jul 6th, 2016 (UTC)","0","$0.00",5876141805,"","中国移动","Shenzhen","China","Apple iPhone","Apple iPhone 6s Plus","","117.136.31.239","Chinese","amplitude-ios/3.8.1","ios 9.2.1","","iOS","Guangdong","3.3.2","3.4.0",NA,NA,"","false",1695,1,"true",2,"false"
"4","V23",6589315610,"7529512063","24","2","3 minutes","Feb 8th, 2016 (UTC)","Jun 27th, 2016 (UTC)","0","$0.00",6589315610,"CloudKit-c75c63e8716ba960194fa3864ee4e0d18872db40b79ad35b8d3d9c0b47aee796519305128eb58710db33112810a7bcd61468869b419948db637d6dd4c84a431d","Proximus","Valencia","Spain","Apple iPhone","Apple iPhone 6","","90.174.4.120","English","amplitude-ios/3.7.0","ios 9.3.2","","iOS","Valencia","","3.3.3",NA,NA,"","false",2386,0,"true",1,"false"
"5","V24",5841926366,"7640386871","2405","41","5 hours","Apr 29th, 2016 (UTC)","Jul 27th, 2016 (UTC)","0","$0.00",5841926366,"CloudKit-5d959e6b31cc8abd55b7596c0aa9cfede54994c176219a3d90a1e44d89de7bb36cd53f5ceb6c195f16f8a411206da270c4b2f382c61d5dae681dd7b08793fc18","Verizon","Midland","United States","Apple iPhone","Apple iPhone 5s","Flint-Saginaw-Bay City, MI","68.188.182.15","English","amplitude-ios/3.8.2","ios 9.3.2","","iOS","Michigan","3.3.2","3.5.0",NA,NA,"","true",473,2,"true",13,"false"
"6","V25",5947381880,"","230","10","31 minutes","May 4th, 2016 (UTC)","Jul 11th, 2016 (UTC)","0","$0.00",5947381880,"","Telstra","Brighton Beach","Australia","Apple iPhone","Apple iPhone 6s Plus","","101.181.181.223","English","amplitude-ios/3.8.1","ios 9.3.2","","iOS","Victoria","3.3.2","3.4.0",NA,NA,"","false",2988,0,"true",16,"false"
"7","V26",6591340808,"","53","1","11 minutes","Feb 12th, 2016 (UTC)","Jul 2nd, 2016 (UTC)","0","$0.00",6591340808,"CloudKit-76b7407573a59514a84c66ddbff816ac82262e208e73d5a3b01fbb73acca2a6255144f07bb1a4cb28d6c9e1dce3f62eb17a9782840d4672a753c38777706058f","Vodafone.de","Hamburg","Germany","Apple iPhone","Apple iPhone 6 Plus","","109.47.2.204","German","amplitude-ios/3.8.1","ios 9.3.2","","iOS","Hamburg","","3.4.0",NA,NA,"","false",7999,0,"true",3,"false"
"8","V27",8386860254,"","11","1","a few seconds","Jul 24th, 2016 (UTC)","Jul 24th, 2016 (UTC)","0","$0.00",8386860254,"","Claro Brasil","Campo Grande","Brazil","Apple iPhone","Apple iPhone 5s","","179.214.142.14","Portuguese","amplitude-ios/3.8.2","ios 9.3.2","","iOS","Mato Grosso do Sul","3.5.1","3.5.1",NA,NA,"","false",873,0,"true",11,"false"
"9","V28",6590292004,"","46","1","3 minutes","Apr 21st, 2016 (UTC)","Jul 22nd, 2016 (UTC)","0","$0.00",6590292004,"CloudKit-ce460df32dfefc10b6804ac3811c04e06f80327f27eed054b31dcaf5f430598e993591a957f1aab56b0ca5c3e0c12c7a966419781819feb9cc3db8e468a6bcfd","AT&T","Dallas","United States","Apple iPhone","Apple iPhone 6","Dallas-Ft. Worth, TX","166.137.106.202","English","amplitude-ios/3.8.2","ios 9.3.2","","iOS","Texas","","3.5.1",NA,NA,"","false",2650,0,"true",11,"false"
"10","V29",6035882764,"","146","6","29 minutes","May 7th, 2016 (UTC)","Jul 8th, 2016 (UTC)","1","$0.99",6035882764,"CloudKit-9f292d4d0ba717b945340fba0876c1b786b2c3353635254ca34a3ff1faf359e476d2fc253225538b9fe7841b7344a72811ea6d88aae233f26a6ef5f440406259","Nextel","Sapiranga","Brazil","Apple iPhone","Apple iPhone 6s","","177.156.15.134","Portuguese","amplitude-ios/3.8.1","ios 9.3.2","true","iOS","Rio Grande do Sul","3.3.3","3.4.0",NA,NA,"","false",6949,0,"true",3,"false"
"11","V210",7795062461,"","3","1","a few seconds","Jul 4th, 2016 (UTC)","Jul 4th, 2016 (UTC)","0","$0.00",7795062461,"","","Shizuoka","Japan","Apple iPad","Apple iPad Mini","","210.229.1.86","Japanese","amplitude-ios/3.8.1","ios 9.3.2","","iOS","Shizuoka","3.4.0","3.4.0",NA,NA,"","false",361,0,"true",0,"false"
"12","V211",7746679856,"","35","1","a minute","Jul 2nd, 2016 (UTC)","Jul 2nd, 2016 (UTC)","0","$0.00",7746679856,"","中国移动","Suzhou","China","Apple iPhone","Apple iPhone 6s","","180.106.49.63","Chinese","amplitude-ios/3.7.0","ios 9.3.2","","iOS","Jiangsu","3.3.3","3.3.3",NA,NA,"","false",301,0,"true",3,"false"
"13","V212",6590996655,"","6","1","a few seconds","Mar 7th, 2016 (UTC)","Jul 11th, 2016 (UTC)","0","$0.00",6590996655,"CloudKit-b8d2acc884e520d5f4994630df6ef21c4c15b734f71dd789cb88d5b629b2a36fd9344fe9a6e598eb514ede14dce7966ef42da0ad3386cf0615c57a477a2fd249","Verizon","Baltimore","United States","Apple iPhone","Apple iPhone 6s","Baltimore, MD","162.129.251.69","English","amplitude-ios/3.8.1","ios 9.3.2","","iOS","Maryland","","3.4.0",NA,NA,"","false",1576,0,"true",0,"false"
"14","V213",7731259551,"","9","1","a few seconds","Jul 2nd, 2016 (UTC)","Jul 2nd, 2016 (UTC)","0","$0.00",7731259551,"CloudKit-3a33d7fcd148ce26be04537f58c84f0eb85d23e28b15112efb5a4d8f91d27f23747d0dc111f363aa4440e6633e00b4c28f0a2656e0e26f9cab668670e18aa25b","Mobily","Riyadh","Saudi Arabia","Apple iPhone","Apple iPhone 6 Plus","","5.82.164.75","English","amplitude-ios/3.8.1","ios 9.3.2","","iOS","Ar Riyāḑ","3.4.0","3.4.0",NA,NA,"","false",0,1,"false",0,"true"
"15","V214",6070923752,"","383","12","36 minutes","Apr 19th, 2016 (UTC)","Jul 2nd, 2016 (UTC)","0","$0.00",6070923752,"CloudKit-dae402b1fc5985598c7ca82725890bbfe9809c5a0c301ab3e7ff53adcf8da3d91d9e683fa581de9279f939bdad21f438bcc2ff5b68c041c70898a2f72fccdb19","fido","New Westminster","Canada","Apple iPhone","Apple iPhone 6","","70.71.25.181","English","amplitude-ios/3.8.1","ios 9.3.2","","iOS","British Columbia","3.3.1","3.4.0",4,NA,"true","true",3451,0,"true",10,"true"
"16","V215",6590139240,"","8","2","a few seconds","Feb 11th, 2016 (UTC)","Jul 2nd, 2016 (UTC)","0","$0.00",6590139240,"CloudKit-1fa3c3288c0510e8f5a5cf2b676e7a900c5fd0dafce7ecec685680e433b5620bc7cb240bb3f9adbdfeee2756e0d012c9eb5f8d07a30a5b971697335d64dd2b14","STC","Jeddah","Saudi Arabia","Apple iPhone","Apple iPhone 6 Plus","","95.186.32.164","Arabic","amplitude-ios/3.8.1","ios 9.3.1","","iOS","Makkah Province","","3.4.0",NA,NA,"","false",347,0,"true",0,"false"
