"","X","Amplitude_ID","Merged_ID","Total_Events","Total_Sessions","Usage_Time","First_Seen","Last_Seen","Num_Purchases","Total_Spent","amplitude_id","user_id","carrier","city","country","device","device_type","dma","ip_address","language","library","os","paying","platform","region","start_version","version","gp.Active.Projects","gp.Collected.Daily.Artwork","gp.Push.Enabled","gp.camera_permission","gp.camera_roll_count","gp.daily_artwork_count","gp.photos_permission","gp.project_count","gp.push_enabled"
"1","V2",8039892823,"",16,1,"a minute","Jul 13th, 2016 (UTC)","Jul 13th, 2016 (UTC)",0,"$0.00",8039892823,"CloudKit-624e07305a3768543ef20b175cb5bf3628f7461d40ea4f0ab87a94c13de98cdfd6fe29a7e5094c7f6c478282178e617a1f48a5f913f694396a4605cfa0f5ff21","Verizon","Picayune","United States","Apple iPhone","Apple iPhone 6s","New Orleans, LA","68.116.215.133","English","amplitude-ios/3.8.1","ios 10.0","","iOS","Mississippi","3.4.0","3.4.0",NA,NA,"","true",302,0,"true",0,"false"
"2","V21",7845753023,"",104,3,"8 minutes","Jul 6th, 2016 (UTC)","Jul 26th, 2016 (UTC)",0,"$0.00",7845753023,"CloudKit-25a194ea845c93da1f4403c16d698bb08739bb05061cabab56b0cd3e26af24ea89360944c9eef68cc74f3edaf0ec581347ea0bad8098a29a6922f32ca1e5a9d9","SK Telecom","Daejeon","South Korea","Apple iPhone","Apple iPhone 6s","","39.119.40.141","Korean","amplitude-ios/3.8.1","ios 9.3.2","","iOS","Daejeon","3.4.0","3.4.0",NA,NA,"","false",3922,0,"true",1,"false"
"3","V22",7911956132,"",81,1,"a minute","Jul 8th, 2016 (UTC)","Jul 8th, 2016 (UTC)",0,"$0.00",7911956132,"","Carrier","Tiran","Iran","Apple iPhone","Apple iPhone 5s","","5.237.237.28","English","amplitude-ios/3.7.0","ios 9.3.2","","iOS","Isfahan","3.3.3","3.3.3",NA,NA,"","false",0,0,"false",0,"false"
"4","V23",7732481139,"",586,48,"2 hours","Jul 2nd, 2016 (UTC)","Jul 11th, 2016 (UTC)",0,"$0.00",7732481139,"","","Asheville","United States","Apple iPad","Apple iPad 2","Greenville-Spartanburg, SC","97.82.228.62","English","amplitude-ios/3.8.1","ios 9.3.2","","iOS","North Carolina","3.4.0","3.4.0",NA,NA,"","true",312,0,"true",16,"false"
"5","V24",7829267825,"",57,1,"4 minutes","Jul 5th, 2016 (UTC)","Jul 5th, 2016 (UTC)",0,"$0.00",7829267825,"CloudKit-a6073260994d2c7498ffa5630aa19b987526c51174e179e37553985be2641f6d82dd2ae8d56ce5654a5f8813d2cb1e365a9c99f25e57c174bbc4b1d52b27d678","Jio","Mumbai","India","Apple iPhone","Apple iPhone 6s Plus","","49.44.51.10","English","amplitude-ios/3.8.1","ios 9.3.2","","iOS","Maharashtra","3.4.0","3.4.0",NA,NA,"","false",852,0,"true",1,"false"
"6","V25",8170994186,"",78,1,"9 minutes","Jul 17th, 2016 (UTC)","Jul 17th, 2016 (UTC)",0,"$0.00",8170994186,"CloudKit-10ff1f0ebc0ce30de96d4dbf78875310268bfbcbc9370f2f5c13ba71bbc9d72d6a634dd435e7c916d9cfc05579d501e68472663863f6b279e4463fef2ebb6d00","ドコモ","Tokyo","Japan","Apple iPhone","Apple iPhone 6s","","1.75.243.206","Japanese","amplitude-ios/3.8.2","ios 9.3.1","","iOS","Tokyo","3.5.0","3.5.0",NA,NA,"","false",9367,0,"true",12,"false"
"7","V26",6590489244,"",299,11,"29 minutes","Feb 15th, 2016 (UTC)","Jul 19th, 2016 (UTC)",0,"$0.00",6590489244,"CloudKit-6efcc6d47d0bed841764eb653117ec41ce49bc092ebee6a6dc31454cfca7dc6e6a486a022a58f33be17f9a22733af6fd05f5f5d02b51a46499abe7f692a42b7a","Sprint","Laurel","United States","Apple iPhone","Apple iPhone 6","Washington, DC (Hagerstown, MD)","66.87.82.62","English","amplitude-ios/3.8.2","ios 9.3.2","","iOS","Maryland","","3.5.0",NA,NA,"","true",315,0,"true",16,"false"
"8","V27",8197337343,"",2,1,"a few seconds","Jul 18th, 2016 (UTC)","Jul 18th, 2016 (UTC)",0,"$0.00",8197337343,"CloudKit-677fa4e544731583788aa92d67125da90e0354496bd04899cac20083270718ad851eb2a40be5aaef5ce647b6cd92111b85f519d5bbdd4eb4be0252f7a47de3c9","Verizon","Brea","United States","Apple iPhone","Apple iPhone 6","Los Angeles, CA","45.51.64.253","English","amplitude-ios/3.7.0","ios 9.3.2","","iOS","California","3.3.3","3.3.3",NA,NA,"","false",0,0,"false",0,"false"
"9","V28",6829446996,"",73,3,"4 minutes","May 26th, 2016 (UTC)","Jul 21st, 2016 (UTC)",0,"$0.00",6829446996,"","Telstra","Greenacre","Australia","Apple iPad","Apple iPad Air 2","","1.129.96.106","English","amplitude-ios/3.7.0","ios 9.3.1","","iOS","New South Wales","3.3.1","3.3.3",0,NA,"false","false",13,0,"true",1,"false"
"10","V29",5854281576,"",471,8,"19 minutes","Apr 30th, 2016 (UTC)","Jul 11th, 2016 (UTC)",0,"$0.00",5854281576,"CloudKit-de987ee60ec00d9af02f661c6db6b6bd6bbdbce8ababffbe022cb82f2d6da6aa124c9eaba109065f81683ac35a9610cba8c286b74debd3e7d99db65dc53706fd","Mobile TeleSystems","Moscow","Russia","Apple iPhone","Apple iPhone 5s","","213.87.145.33","Russian","amplitude-ios/3.8.1","ios 9.3.2","","iOS","Moscow","3.3.2","3.4.0",NA,NA,"","false",3646,0,"true",3,"false"
"11","V210",6129634609,"",260,39,"14 minutes","Apr 29th, 2016 (UTC)","Jul 18th, 2016 (UTC)",0,"$0.00",6129634609,"4B9C3DAB-87FC-4C4F-B1FE-5AA69CB11F59","TRUE-H","Bangkok","Thailand","Apple iPhone","Apple iPhone 6","","171.97.69.37","English","amplitude-ios/3.8.2","ios 9.3.2","","iOS","Bangkok","3.3.2","3.5.0",NA,NA,"","false",2422,17,"true",23,"false"
"12","V211",5913804396,"",2568,86,"3 hours","May 2nd, 2016 (UTC)","Jul 10th, 2016 (UTC)",0,"$0.00",5913804396,"CloudKit-3cf7b399cb57f575dbe4de3eaad5a49b029013e602bbcd8614ccb2614a09104e2994e38f686ed0942943d1db54af74ebf3d0717e01cd1191d7f48e84269eb678","ENTEL PCS","Santiago","Chile","Apple iPhone","Apple iPhone 4s","","186.9.129.70","Spanish","amplitude-ios/3.8.1","ios 9.3","","iOS","Santiago Metropolitan","3.3.2","3.4.0",NA,NA,"","true",213,0,"true",41,"false"
"13","V212",6595095134,"",550,11,"44 minutes","Feb 3rd, 2016 (UTC)","Jul 18th, 2016 (UTC)",0,"$0.00",6595095134,"CloudKit-b2023696840eeec308740d0096b8b6070d11a634437b7330aa7ae29ed536f4cc7e446960c4c24ed985e9b9d5d82230edab83f9fa24aea201eb4f8be625cc0668","TELIA","Mora","Sweden","Apple iPhone","Apple iPhone 6","","95.195.139.22","Swedish","amplitude-ios/3.8.2","ios 9.3.2","","iOS","Dalarna","","3.5.0",NA,NA,"","true",3653,7,"true",77,"true"
"14","V213",8164383627,"",2,1,"a few seconds","Jul 17th, 2016 (UTC)","Jul 17th, 2016 (UTC)",0,"$0.00",8164383627,"CloudKit-e101604f4321bb27fa5c70398eea3865a636ec71aa6980b55dcf77b1091005af176007fb9a74b320e5e3db214ffcf2c1f93c26aaf44e5829c5ace30eae17067c","Verizon","Florence","United States","Apple iPhone","Apple iPhone 4s","Springfield-Holyoke, MA","50.157.211.93","English","amplitude-ios/3.8.2","ios 9.3.2","","iOS","Massachusetts","3.5.0","3.5.0",NA,NA,"","false",743,0,"true",11,"false"
"15","V214",6049531289,"",277,6,"15 minutes","May 8th, 2016 (UTC)","Jul 6th, 2016 (UTC)",0,"$0.00",6049531289,"CloudKit-18c083ff47cd3cd4c0899998d1b5db8523be8a9730c53f114231e7f67100f3e0dcb25a79f158c4e4d4bd07790fad61691e75771295103a2198857ad2d3ce6812","T-Mobile","Springville","United States","Apple iPhone","Apple iPhone 6s","Salt Lake City, UT","98.202.149.89","English","amplitude-ios/3.8.1","ios 9.3.2","","iOS","Utah","3.3.3","3.4.0",NA,NA,"","false",331,0,"true",4,"false"
"16","V215",8001484485,"",234,2,"19 minutes","Jul 11th, 2016 (UTC)","Jul 11th, 2016 (UTC)",0,"$0.00",8001484485,"","Carrier","Moscow","Russia","Apple iPhone","Apple iPhone 6","","213.87.161.210","Russian","amplitude-ios/3.8.1","ios 9.3.2","","iOS","Moscow","3.4.0","3.4.0",NA,NA,"","false",716,0,"true",4,"false"
"17","V216",7267094971,"",15,3,"a few seconds","Jun 17th, 2016 (UTC)","Jun 27th, 2016 (UTC)",0,"$0.00",7267094971,"","NRJ","Nice","France","Apple iPhone","Apple iPhone 4s","","89.3.164.49","French","amplitude-ios/3.7.0","ios 9.3.2","","iOS","Alpes-Maritimes","3.3.3","3.3.3",NA,NA,"","false",138,0,"true",1,"false"
"18","V217",5802621189,"",147,6,"16 minutes","Apr 28th, 2016 (UTC)","Jun 26th, 2016 (UTC)",0,"$0.00",5802621189,"CloudKit-ba07378c42cf961ea2ccdbe5180131437725dccfe0b6eddf55cef13dfaf6b65584e6dc6fa979abe86c9b9172ba4d6016b09326ebd90dfb95b5603507fc77c2f0","AT&T","Los Angeles","United States","Apple iPhone","Apple iPhone 6s Plus","Los Angeles, CA","107.77.230.195","English","amplitude-ios/3.7.0","ios 9.3.2","","iOS","California","3.3.2","3.3.3",NA,NA,"","true",3288,0,"true",24,"false"
"19","V218",6592067376,"",2,1,"a few seconds","Feb 19th, 2016 (UTC)","Jul 15th, 2016 (UTC)",0,"$0.00",6592067376,"CloudKit-9f9d4b40670e5cdfbb7c24b4c656dd066dc70ac8668e4dbefbda9d812e379ec617a329511783fb10afee53ef60c2e55223883186541087ca27a1f23def42b674","AT&T","Clovis","United States","Apple iPhone","Apple iPhone 5","Fresno-Visalia, CA","98.252.81.27","English","amplitude-ios/3.8.2","ios 9.3.2","","iOS","California","","3.5.0",NA,NA,"","false",0,0,"false",11,"false"
"20","V219",8078085051,"",35,2,"3 minutes","Jul 14th, 2016 (UTC)","Jul 24th, 2016 (UTC)",0,"$0.00",8078085051,"CloudKit-b2032c01372e9eed2c6678d5d6343c446d174a2eec0b2f3bfd445d85aa597203a8d02b8d70137dd0db237701ccdcf2146e808ef8f0b02e0e1bff9d49028d204a","T-Mobile","","United States","Apple iPhone","Apple iPhone 6s","","172.56.12.94","English","amplitude-ios/3.8.2","ios 9.3.3","","iOS","Illinois","3.4.0","3.5.1",NA,NA,"","false",3356,0,"true",12,"false"
